gene_biotype	ensembl_gene_id	external_gene_name	CPM	GeneLength	bio_tot	col	sum	freq	CumulativeFrequency	shape	color
antisense (89)	ENSG00000230630	DNM3OS	3.20622464512644	8263	89	#FDC086	406.955610808265	0.00787856110094778	0.00787856110094778	15	#7FC97F
antisense (89)	ENSG00000269352	PTOV1-AS2	3.31055094886042	2319	89	#FDC086	406.955610808265	0.00813491904506551	0.0160134801460133	15	#7FC97F
antisense (89)	ENSG00000225465	RFPL1S	3.32184127623603	41641	89	#FDC086	406.955610808265	0.0081626624329824	0.0241761425789957	15	#7FC97F
antisense (89)	ENSG00000278291	AL161772.1	3.33657531834323	4411	89	#FDC086	406.955610808265	0.00819886795937368	0.0323750105383694	15	#7FC97F
antisense (89)	ENSG00000247708	STX18-AS1	3.47661556168863	168807	89	#FDC086	406.955610808265	0.00854298471222362	0.040917995250593	15	#7FC97F
antisense (89)	ENSG00000246695	RASSF8-AS1	3.59752830274446	20436	89	#FDC086	406.955610808265	0.00884010001876941	0.0497580952693624	15	#7FC97F
antisense (89)	ENSG00000259891	AC107375.1	3.59818117643793	2230	89	#FDC086	406.955610808265	0.00884170430600893	0.0585997995753713	15	#7FC97F
antisense (89)	ENSG00000250802	ZBED3-AS1	3.60604215990757	80221	89	#FDC086	406.955610808265	0.00886102086845668	0.067460820443828	15	#7FC97F
antisense (89)	ENSG00000259768	AC004943.2	3.61828649869307	126454	89	#FDC086	406.955610808265	0.00889110852042732	0.0763519289642553	15	#7FC97F
antisense (89)	ENSG00000273247	AC097376.2	3.65586150287166	42107	89	#FDC086	406.955610808265	0.00898344046814015	0.0853353694323955	15	#7FC97F
antisense (89)	ENSG00000117242	PINK1-AS	3.65673179235287	9536	89	#FDC086	406.955610808265	0.0089855790047719	0.0943209484371674	15	#7FC97F
antisense (89)	ENSG00000268858	AL118506.1	3.6974568010687	3081	89	#FDC086	406.955610808265	0.00908565136557544	0.103406599802743	15	#7FC97F
antisense (89)	ENSG00000255857	PXN-AS1	3.74497049617648	11847	89	#FDC086	406.955610808265	0.00920240536489594	0.112609005167639	15	#7FC97F
antisense (89)	ENSG00000257167	TMPO-AS1	3.74993690761914	3449	89	#FDC086	406.955610808265	0.00921460918101435	0.121823614348653	15	#7FC97F
antisense (89)	ENSG00000186019	AC021092.1	3.75232967216945	7682	89	#FDC086	406.955610808265	0.00922048885065586	0.131044103199309	15	#7FC97F
antisense (89)	ENSG00000247828	TMEM161B-AS1	3.75947886412701	167790	89	#FDC086	406.955610808265	0.00923805634884899	0.140282159548158	15	#7FC97F
antisense (89)	ENSG00000236404	VLDLR-AS1	3.77495014550522	220657	89	#FDC086	406.955610808265	0.00927607347152112	0.149558233019679	15	#7FC97F
antisense (89)	ENSG00000231365	AL359915.2	3.78602497844984	135577	89	#FDC086	406.955610808265	0.00930328733133896	0.158861520351018	15	#7FC97F
antisense (89)	ENSG00000249673	NOP14-AS1	3.79109626006056	26839	89	#FDC086	406.955610808265	0.00931574884182323	0.168177269192841	15	#7FC97F
antisense (89)	ENSG00000206417	H1FX-AS1	3.79318215955276	10833	89	#FDC086	406.955610808265	0.00932087446102297	0.177498143653864	15	#7FC97F
antisense (89)	ENSG00000236017	ASMTL-AS1	3.81575858415183	12259	89	#FDC086	406.955610808265	0.00937635084222885	0.186874494496093	15	#7FC97F
antisense (89)	ENSG00000231113	AL035587.1	3.83026078897768	7996	89	#FDC086	406.955610808265	0.0094119866817177	0.196286481177811	15	#7FC97F
antisense (89)	ENSG00000270696	AC005034.3	3.844237563305	1746	89	#FDC086	406.955610808265	0.00944633139636498	0.205732812574176	15	#7FC97F
antisense (89)	ENSG00000271474	AC106881.1	3.85515681126709	3328	89	#FDC086	406.955610808265	0.0094731629418016	0.215205975515977	15	#7FC97F
antisense (89)	ENSG00000231806	PCAT7	3.87737688009962	48936	89	#FDC086	406.955610808265	0.00952776366050996	0.224733739176487	15	#7FC97F
antisense (89)	ENSG00000260852	FBXL19-AS1	3.89576597323861	3950	89	#FDC086	406.955610808265	0.00957295063582274	0.23430668981231	15	#7FC97F
antisense (89)	ENSG00000234072	AC074117.1	3.93705096468507	11376	89	#FDC086	406.955610808265	0.00967439902564703	0.243981088837957	15	#7FC97F
antisense (89)	ENSG00000235381	AL596202.1	3.93932885237537	3585	89	#FDC086	406.955610808265	0.00967999641177417	0.253661085249731	15	#7FC97F
antisense (89)	ENSG00000262049	AC139530.1	3.95017958135859	1976	89	#FDC086	406.955610808265	0.00970665958754823	0.26336774483728	15	#7FC97F
